clip	duration[ms]
common_voice_tr_43395208.mp3	10368
common_voice_tr_42697890.mp3	4788
common_voice_tr_42960628.mp3	9756
common_voice_tr_42697444.mp3	4140
common_voice_tr_42701168.mp3	4680
common_voice_tr_42925582.mp3	6588
common_voice_tr_43393731.mp3	6120
common_voice_tr_42929588.mp3	5508
common_voice_tr_42697391.mp3	5076
common_voice_tr_42697807.mp3	7596
common_voice_tr_43373644.mp3	4176
common_voice_tr_42699840.mp3	5580
common_voice_tr_43237391.mp3	6876
common_voice_tr_42857211.mp3	5688
common_voice_tr_42698789.mp3	7380
common_voice_tr_42698757.mp3	3168
common_voice_tr_42697390.mp3	8100
common_voice_tr_43263989.mp3	3780
common_voice_tr_42697451.mp3	5400
common_voice_tr_43393728.mp3	5220
common_voice_tr_42699586.mp3	10440
common_voice_tr_42773613.mp3	8208
common_voice_tr_42697425.mp3	4212
common_voice_tr_43263734.mp3	7020
common_voice_tr_43263952.mp3	4320
common_voice_tr_43263927.mp3	5436
common_voice_tr_42697944.mp3	5400
common_voice_tr_42991723.mp3	7452
common_voice_tr_43059779.mp3	9360
common_voice_tr_42935146.mp3	5400
common_voice_tr_42929529.mp3	6876
common_voice_tr_42878533.mp3	6300
common_voice_tr_42982602.mp3	6840
common_voice_tr_42697352.mp3	9468
common_voice_tr_43267929.mp3	3888
common_voice_tr_43422225.mp3	6336
common_voice_tr_42697645.mp3	4140
common_voice_tr_42699424.mp3	6120
common_voice_tr_43373035.mp3	9540
common_voice_tr_42925609.mp3	7128
common_voice_tr_42698053.mp3	7236
common_voice_tr_42699627.mp3	10620
common_voice_tr_43033027.mp3	7740
common_voice_tr_42773612.mp3	7308
common_voice_tr_42697913.mp3	5688
common_voice_tr_42701278.mp3	4176
common_voice_tr_43263915.mp3	2628
common_voice_tr_42979228.mp3	5724
common_voice_tr_42699544.mp3	7596
common_voice_tr_42699488.mp3	8856
common_voice_tr_42878509.mp3	4536
common_voice_tr_42705682.mp3	9396
common_voice_tr_43263912.mp3	5076
common_voice_tr_42698062.mp3	3996
common_voice_tr_42935144.mp3	5256
common_voice_tr_43198350.mp3	9468
common_voice_tr_42697500.mp3	5760
common_voice_tr_43267945.mp3	4176
common_voice_tr_43267931.mp3	3600
common_voice_tr_42697489.mp3	8280
common_voice_tr_42699407.mp3	8676
common_voice_tr_42698056.mp3	5940
common_voice_tr_42697905.mp3	8100
common_voice_tr_42697468.mp3	5220
common_voice_tr_42701223.mp3	4608
common_voice_tr_43263731.mp3	4068
common_voice_tr_42697498.mp3	4536
